model_key,model,family,size,is_edge,architecture,architecture_display,item_id,type,n_judges,completude,fidelidade,rastreabilidade,quality,sql_match,retrieval_precision,retrieval_recall,type_predicted,match_type,match_agents,latency_total,latency_planner,latency_sql,latency_rag,latency_synthesizer,latency_verifier,latency_consolidator,input_tokens,output_tokens,total_tokens
gemini-flash-lite,Gemini Flash-Lite,gemini,small,False,full,Completa,S1,S,3,1,1,1.6666666666666667,1.2222222222222223,True,,,S,True,True,9.26,3.0059,2.0746,,2.1675,1.874,0.0001,13541.0,688.0,14229.0
gemini-flash-lite,Gemini Flash-Lite,gemini,small,False,full,Completa,S2,S,3,0.6666666666666666,1.3333333333333333,2,1.3333333333333333,False,,,S,True,True,9.45,3.3551,1.5586,,2.4535,1.7845,0.0001,13790.0,726.0,14516.0
gemini-flash-lite,Gemini Flash-Lite,gemini,small,False,full,Completa,S3,S,3,2,2,2,2.0,True,,,S,True,True,9.55,3.098,1.8762,,2.5178,1.9358,,14823.0,868.0,15691.0
gemini-flash-lite,Gemini Flash-Lite,gemini,small,False,full,Completa,S4,S,3,1,1.6666666666666667,1.6666666666666667,1.4444444444444446,True,,,S,True,True,16.84,1.8449,1.5778,,2.0137,1.6748,,35211.0,1338.0,36549.0
gemini-flash-lite,Gemini Flash-Lite,gemini,small,False,full,Completa,S5,S,3,1,1.3333333333333333,2,1.4444444444444444,False,,,S,True,True,7.42,1.4693,1.7933,,2.1124,1.9839,,13853.0,715.0,14568.0
gemini-flash-lite,Gemini Flash-Lite,gemini,small,False,full,Completa,S6,S,3,1.3333333333333333,2,1.6666666666666667,1.6666666666666667,True,,,S,True,True,6.67,1.4181,1.2176,,2.0958,1.8648,0.0001,13251.0,643.0,13894.0
gemini-flash-lite,Gemini Flash-Lite,gemini,small,False,full,Completa,S7,S,3,1.6666666666666667,2,2,1.888888888888889,True,,,S,True,True,6.61,1.6764,1.1092,,2.1857,1.5705,0.0001,13281.0,706.0,13987.0
gemini-flash-lite,Gemini Flash-Lite,gemini,small,False,full,Completa,S8,S,3,2,2,2,2.0,True,,,H,False,True,8.57,1.7785,1.4429,1.1555,2.6902,2.5352,0.0001,19421.0,1095.0,20516.0
gemini-flash-lite,Gemini Flash-Lite,gemini,small,False,full,Completa,S9,S,3,1,1.6666666666666667,2,1.5555555555555556,True,,,S,True,True,8.29,2.5308,1.4943,,1.8197,2.3653,0.0001,13217.0,533.0,13750.0
gemini-flash-lite,Gemini Flash-Lite,gemini,small,False,full,Completa,S10,S,3,2,2,1.6666666666666667,1.888888888888889,True,,,S,True,True,9.39,3.0248,1.8112,,1.8503,2.6298,0.0001,13327.0,681.0,14008.0
gemini-flash-lite,Gemini Flash-Lite,gemini,small,False,full,Completa,NS1,NS,3,1.3333333333333333,1.6666666666666667,2,1.6666666666666667,False,0.5,0.33,NS,True,True,8.25,3.1551,,0.5377,2.5239,1.989,,14684.0,826.0,15510.0
