model_key,model,family,size,is_edge,architecture,architecture_display,n_items,completude_mean,completude_ci_low,completude_ci_high,fidelidade_mean,fidelidade_ci_low,fidelidade_ci_high,rastreabilidade_mean,rastreabilidade_ci_low,rastreabilidade_ci_high,quality_mean,quality_ci_low,quality_ci_high,quality_S,quality_NS,quality_H,routing_accuracy,routing_ci_low,routing_ci_high,agent_match_rate,agent_ci_low,agent_ci_high,sql_match_rate,sql_ci_low,sql_ci_high,retrieval_precision_mean,retrieval_precision_ci_low,retrieval_precision_ci_high,retrieval_recall_mean,retrieval_recall_ci_low,retrieval_recall_ci_high,latency_mean,latency_ci_low,latency_ci_high,latency_median,input_tokens_mean,output_tokens_mean,total_tokens_mean
gemini-flash-lite,Gemini Flash-Lite,gemini,small,False,full,Completa,30,1.3777777777777773,1.222222222222222,1.5333333333333334,1.5666666666666669,1.444444444444445,1.6777777777777778,1.9333333333333333,1.8777777777777778,1.9777777777777779,1.625925925925926,1.5444444444444443,1.7074074074074068,1.6444444444444444,1.6888888888888889,1.5444444444444445,0.9666666666666667,0.9,1.0,1.0,1.0,1.0,0.55,0.35,0.75,0.8,0.675,0.925,0.8915,0.758,1.0,8.950999999999999,8.049658333333333,10.129683333333329,8.27,17455.633333333335,1029.7,18485.333333333332
gemini-flash-lite,Gemini Flash-Lite,gemini,small,False,no-synthesizer,Sem Síntese,30,1.4444444444444442,1.2555555555555555,1.6222222222222222,1.7666666666666664,1.6555555555555552,1.8555555555555556,1.8555555555555554,1.7888888888888885,1.922222222222222,1.688888888888889,1.5925925925925926,1.7778703703703693,1.7444444444444442,1.7555555555555558,1.5666666666666669,0.9666666666666667,0.9,1.0,1.0,1.0,1.0,0.6,0.4,0.8,0.8,0.675,0.925,0.8915,0.758,1.0,6.461666666666667,6.0629833333333325,6.863008333333334,6.37,12289.9,610.7,12900.6
gemini-flash-lite,Gemini Flash-Lite,gemini,small,False,no-verifier,Sem Verificação,30,1.3777777777777778,1.1888888888888889,1.5555555555555558,1.5,1.3777777777777775,1.6222222222222222,1.911111111111111,1.8555555555555554,1.9666666666666666,1.5962962962962963,1.5037037037037038,1.6888888888888887,1.6444444444444444,1.6333333333333333,1.511111111111111,0.9666666666666667,0.9,1.0,1.0,1.0,1.0,0.6,0.4,0.8,0.8,0.675,0.925,0.8915,0.758,1.0,6.524666666666666,6.091316666666667,6.951674999999999,6.525,12952.9,709.3666666666667,13662.266666666666
gemini-flash-lite,Gemini Flash-Lite,gemini,small,False,poc,Simples,30,1.1111111111111112,0.9333333333333333,1.2888888888888888,1.7111111111111112,1.5888888888888888,1.8222222222222222,1.7111111111111112,1.622222222222222,1.8,1.5111111111111113,1.425925925925926,1.596296296296296,1.3777777777777778,1.6111111111111114,1.5444444444444445,0.9333333333333333,0.8333333333333334,1.0,0.9666666666666667,0.9,1.0,0.55,0.35,0.75,0.8,0.65,0.925,0.85,0.7,0.975,5.4786666666666655,5.11,5.872666666666666,5.375,12347.066666666668,441.1666666666667,12788.233333333334
gemini-flash,Gemini Flash,gemini,medium,False,full,Completa,30,1.4888888888888885,1.322222222222222,1.6555555555555557,1.611111111111111,1.5111111111111108,1.6999999999999997,1.9444444444444444,1.8999999999999997,1.9888888888888892,1.6814814814814814,1.6037037037037036,1.7592592592592593,1.6,1.8222222222222224,1.6222222222222222,0.9333333333333333,0.8333333333333334,1.0,1.0,1.0,1.0,0.5,0.3,0.7,0.7415,0.5995,0.875,0.8915,0.758,1.0,35.64200000000001,25.51665,52.87236666666667,23.615,17723.033333333333,7490.9,25213.933333333334
gemini-flash,Gemini Flash,gemini,medium,False,no-synthesizer,Sem Síntese,30,1.4555555555555555,1.2333333333333334,1.6555555555555554,1.711111111111111,1.5999999999999999,1.822222222222222,1.9,1.8444444444444443,1.9555555555555555,1.6888888888888889,1.588888888888889,1.7814814814814814,1.5777777777777777,1.8444444444444446,1.6444444444444446,0.9333333333333333,0.8333333333333334,1.0,1.0,1.0,1.0,0.5,0.3,0.7,0.7415,0.6,0.875,0.8915,0.758,1.0,15.416666666666663,14.008666666666667,16.854041666666667,15.385000000000002,12503.1,2482.4333333333334,14985.533333333333
gemini-flash,Gemini Flash,gemini,medium,False,no-verifier,Sem Verificação,30,1.366666666666667,1.1333333333333333,1.5777777777777777,1.533333333333333,1.3666666666666663,1.6777777777777776,1.8333333333333333,1.6333333333333333,1.9777777777777779,1.5777777777777777,1.4148148148148147,1.711111111111111,1.4999999999999998,1.6333333333333335,1.6,0.9333333333333333,0.8333333333333334,1.0,1.0,1.0,1.0,0.5,0.3,0.7,0.7415,0.6,0.875,0.8915,0.758,1.0,31.41,17.375333333333334,51.23416666666666,17.005000000000003,13151.233333333334,7370.266666666666,20521.5
gemini-flash,Gemini Flash,gemini,medium,False,poc,Simples,30,1.1888888888888889,0.9666666666666669,1.4,1.6666666666666667,1.5333333333333334,1.788888888888889,1.6111111111111107,1.5111111111111106,1.6999999999999997,1.4888888888888892,1.3925925925925926,1.5851851851851853,1.4333333333333331,1.7,1.3333333333333335,0.9333333333333333,0.8333333333333334,1.0,1.0,1.0,1.0,0.4,0.2,0.6,0.8,0.65,0.925,0.9,0.75,1.0,20.391333333333343,13.15430833333333,33.12883333333333,14.085,11969.2,4435.2,16404.4
gemini-pro,Gemini Pro,gemini,large,False,full,Completa,30,1.4111111111111112,1.2111111111111108,1.6000000000000003,1.6888888888888887,1.5999999999999999,1.7666666666666666,1.9666666666666666,1.9222222222222223,2.0,1.6888888888888887,1.6185185185185182,1.7592592592592593,1.7333333333333336,1.711111111111111,1.6222222222222222,1.0,1.0,1.0,1.0,1.0,1.0,0.65,0.45,0.85,0.825,0.7,0.95,0.9164999999999999,0.783,1.0,40.85966666666666,37.38054999999999,44.25037499999999,42.3,16060.866666666667,4582.6,20643.466666666667
gemini-pro,Gemini Pro,gemini,large,False,no-synthesizer,Sem Síntese,30,1.411111111111111,1.2,1.611111111111111,1.7666666666666662,1.6555555555555557,1.8666666666666667,1.9111111111111112,1.8444444444444443,1.9666666666666666,1.6962962962962964,1.6037037037037039,1.7851851851851852,1.6777777777777778,1.7666666666666668,1.6444444444444444,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.4,0.8,0.825,0.7,0.95,0.9164999999999999,0.783,1.0,26.444,24.239200000000004,28.79071666666667,26.295,12265.7,2763.8333333333335,15029.533333333333
