family,stage,metric,mean_L,mean_S,delta_L_minus_S
gpt,planner,quality,1.7556,1.6889,0.0667
gpt,planner,completude,1.5472,1.3583,0.1889
gpt,planner,fidelidade,1.7778,1.7861,-0.0083
gpt,planner,rastreabilidade,1.9417,1.9222,0.0194
gpt,sql,quality,1.7269,1.7176,0.0093
gpt,sql,completude,1.4778,1.4278,0.05
gpt,sql,fidelidade,1.7694,1.7944,-0.025
gpt,sql,rastreabilidade,1.9333,1.9306,0.0028
gpt,synth,quality,1.7676,1.6769,0.0907
gpt,synth,completude,1.5111,1.3944,0.1167
gpt,synth,fidelidade,1.8333,1.7306,0.1028
gpt,synth,rastreabilidade,1.9583,1.9056,0.0528
gemini,planner,quality,1.687,1.6954,-0.0083
gemini,planner,completude,1.4194,1.4389,-0.0194
gemini,planner,fidelidade,1.7472,1.7667,-0.0194
gemini,planner,rastreabilidade,1.8944,1.8806,0.0139
gemini,sql,quality,1.6954,1.687,0.0083
gemini,sql,completude,1.4333,1.425,0.0083
gemini,sql,fidelidade,1.7528,1.7611,-0.0083
gemini,sql,rastreabilidade,1.9,1.875,0.025
gemini,synth,quality,1.7019,1.6806,0.0213
gemini,synth,completude,1.4333,1.425,0.0083
gemini,synth,fidelidade,1.7722,1.7417,0.0306
gemini,synth,rastreabilidade,1.9,1.875,0.025
qwen,planner,quality,1.6722,1.6343,0.038
qwen,planner,completude,1.3917,1.3056,0.0861
qwen,planner,fidelidade,1.75,1.7306,0.0194
qwen,planner,rastreabilidade,1.875,1.8667,0.0083
qwen,sql,quality,1.6574,1.6491,0.0083
qwen,sql,completude,1.3444,1.3528,-0.0083
qwen,sql,fidelidade,1.75,1.7306,0.0194
qwen,sql,rastreabilidade,1.8778,1.8639,0.0139
qwen,synth,quality,1.6509,1.6556,-0.0046
qwen,synth,completude,1.3306,1.3667,-0.0361
qwen,synth,fidelidade,1.7556,1.725,0.0306
qwen,synth,rastreabilidade,1.8667,1.875,-0.0083
