family,config,n,quality,completude,fidelidade,rastreabilidade,latency,input_tokens,output_tokens,cost_per_item_usd
gemini,LLL,30,1.6963,1.4111,1.7667,1.9111,26.444,12265.7,2763.8333,0.04297
gemini,LLS,30,1.6778,1.4222,1.7111,1.9,90.1157,12343.2,1430.8333,0.02974
gemini,LSL,30,1.6926,1.4333,1.7667,1.8778,26.774,12254.9,2319.9667,0.03852
gemini,LSS,30,1.6815,1.4111,1.7444,1.8889,12.4363,12246.6667,990.4333,0.00122
gemini,SLL,30,1.7333,1.4778,1.7889,1.9333,27.3977,12286.6,2447.2667,0.03983
gemini,SLS,30,1.6741,1.4222,1.7444,1.8556,13.0877,12301.8,1035.4,0.00123
gemini,SSL,30,1.6852,1.4111,1.7667,1.8778,23.715,12289.9,1962.3333,0.00151
gemini,SSS,30,1.6889,1.4444,1.7667,1.8556,6.4617,12289.9,610.7,0.0011
gpt,LLL,30,1.7815,1.5444,1.8444,1.9556,15.0623,11987.5667,951.2333,0.03948
gpt,LLS,30,1.6963,1.4889,1.6667,1.9333,52.9027,12306.3,6425.8667,0.09502
gpt,LSL,30,1.8,1.6111,1.8222,1.9667,67.8183,11879.6333,6482.1,0.09452
gpt,LSS,30,1.7444,1.5444,1.7778,1.9111,72.8393,12349.1,7959.0333,0.0038
gpt,SLL,30,1.7556,1.4778,1.8444,1.9444,71.6983,18826.8333,5984.0333,0.10691
gpt,SLS,30,1.6741,1.4,1.7222,1.9,52.5543,11908.8,6532.1,0.00321
gpt,SSL,30,1.7333,1.4111,1.8222,1.9667,62.1297,13601.0333,6000.8,0.00308
gpt,SSS,30,1.5926,1.1444,1.7556,1.8778,9.1367,12745.6,936.7,0.00101
qwen,LLL,30,1.6667,1.4,1.7556,1.8444,77.433,12469.7333,3460.7,0.01143
qwen,LLS,30,1.6889,1.4111,1.7556,1.9,42.0833,12392.3667,3433.8333,0.01135
qwen,LSL,30,1.6593,1.3778,1.7222,1.8778,50.1033,12946.5667,2921.8333,0.01086
qwen,LSS,30,1.6741,1.3778,1.7667,1.8778,37.2603,12298.6667,2971.5667,0.00424
qwen,SLL,30,1.6148,1.2444,1.7444,1.8556,61.9303,14111.5333,3081.5,0.01168
qwen,SLS,30,1.6593,1.3222,1.7444,1.9111,33.6187,14293.8667,3126.1667,0.00473
qwen,SSL,30,1.663,1.3,1.8,1.8889,52.1223,13858.2333,2965.9,0.00455
qwen,SSS,30,1.6,1.3556,1.6333,1.8111,27.773,14869.1,2861.4,0.00469
